Title,Duration,Genre,Released,Link
Some Like It Hot ,2h 1min,Comedy,"19 March 1959 (USA)
",https://www.imdb.com/title/tt0053291/
Wild Strawberries ,1h 31min,Drama,"22 June 1959 (USA)
",https://www.imdb.com/title/tt0050986/
Tokyo Story ,2h 16min,Drama,"13 March 1972 (USA)
",https://www.imdb.com/title/tt0046438/
Yojimbo ,1h 50min,Action,"13 September 1961 (USA)
",https://www.imdb.com/title/tt0055630/
To Be or Not to Be ,1h 39min,Comedy,"6 March 1942 (USA)
",https://www.imdb.com/title/tt0035446/
Judgment at Nuremberg ,2h 59min,Drama,"18 December 1961 (Sweden)
",https://www.imdb.com/title/tt0055031/
Chinatown ,2h 10min,Drama,"20 June 1974 (USA)
",https://www.imdb.com/title/tt0071315/
Raging Bull ,2h 9min,Biography,"19 December 1980 (USA)
",https://www.imdb.com/title/tt0081398/
Monty Python and the Holy Grail ,1h 31min,Adventure,"25 May 1975 (UK)
",https://www.imdb.com/title/tt0071853/
To Kill a Mockingbird ,2h 9min,Crime,"16 March 1963 (USA)
",https://www.imdb.com/title/tt0056592/
The Great Escape ,2h 52min,Adventure,"4 July 1963 (USA)
",https://www.imdb.com/title/tt0057115/
Stalker ,2h 42min,Drama,"17 April 1980 (Netherlands)
",https://www.imdb.com/title/tt0079944/
The Secret in Their Eyes ,2h 9min,Drama,"21 May 2010 (USA)
",https://www.imdb.com/title/tt1305806/
Warrior ,2h 20min,Action,"9 September 2011 (USA)
",https://www.imdb.com/title/tt1291584/
Gangs of Wasseypur ,5h 21min,Action,"22 June 2012 (India)
",https://www.imdb.com/title/tt1954470/
Drishyam ,2h 43min,Crime,"31 July 2015 (USA)
",https://www.imdb.com/title/tt4430212/
M ,1h 39min,Crime,"31 August 1931 (Sweden)
",https://www.imdb.com/title/tt0022100/
The Kid ,1h 8min,Comedy,"6 February 1921 (USA)
",https://www.imdb.com/title/tt0012349/
Metropolis ,2h 33min,Drama,"13 March 1927 (USA)
",https://www.imdb.com/title/tt0017136/
Ran ,2h 42min,Action,"1 June 1985 (Japan)
",https://www.imdb.com/title/tt0089881/
Klaus ,1h 36min,Animation,"15 November 2019 (USA)
",https://www.imdb.com/title/tt4729430/
Green Book ,2h 10min,Biography,"16 November 2018 (USA)
",https://www.imdb.com/title/tt6966692/
"Three Billboards Outside Ebbing, Missouri ",1h 55min,Comedy,"1 December 2017 (USA)
",https://www.imdb.com/title/tt5027774/
Double Indemnity ,1h 47min,Crime,"6 July 1944 (USA)
",https://www.imdb.com/title/tt0036775/
Bicycle Thieves ,1h 29min,Drama,"13 December 1949 (USA)
",https://www.imdb.com/title/tt0040522/
Citizen Kane ,1h 59min,Drama,"5 September 1941 (USA)
",https://www.imdb.com/title/tt0033467/
Lawrence of Arabia ,3h 48min,Adventure,"11 December 1962 (UK)
",https://www.imdb.com/title/tt0056172/
Ikiru ,2h 23min,Drama,"25 March 1956 (USA)
",https://www.imdb.com/title/tt0044741/
For a Few Dollars More ,2h 12min,Western,"10 May 1967 (USA)
",https://www.imdb.com/title/tt0059578/
