title,url,original_price,discounted_price
Waterproof cover Wireless Doorbell ring 300M Remote home smart Door Bell SDB-555205,https://www.tinydeal.com/waterproof-cover-wireless-doorbell-ring-300m-remote-home-smart-door-bell-p-177308.html,$15.52 ,$12.10
10 In 1 Electric Control Cabinet Key Wrench Zinc Alloy Multi-function Key Wrench HHI-544805,https://www.tinydeal.com/10-in-1-electric-control-cabinet-key-wrench-zinc-alloy-multi-function-key-wrench-p-173445.html,,
3Pcs HSS 4-12/20/32mm High Quality Steel Step Drill Bits Hole Cutter NLC-527663,https://www.tinydeal.com/3pcs-hss-4-122032mm-high-quality-steel-step-drill-bits-hole-cutter-p-164923.html,$11.26 ,$10.54
2 Pins Wood Moisture Meter Digital Moisture Meter Water Content w LCD Display STH-543137,https://www.tinydeal.com/2-pins-wood-moisture-meter-digital-moisture-meter-water-content-w-lcd-display-p-172628.html,,
4pc HSS 4341 Double Ended Damaged Screw Extractor EDT-552171,https://www.tinydeal.com/4pc-hss-4341-double-ended-damaged-screw-extractor-p-175994.html,$5.26 ,$4.88
2-in-1 Multipurpose Keyboard Groove Brush Set EDT-555031,https://www.tinydeal.com/2-in-1-multipurpose-keyboard-groove-brush-set-p-176868.html,$1.39 ,$1.29
Car Window Safety Hammer Car Escape Hammer Long Handle Emergency Hammer HHI-557673,https://www.tinydeal.com/car-window-safety-hammer-car-escape-hammer-long-handle-emergency-hammer-p-177598.html,$3.17 ,$2.64
Mini Multi-function Home Hand Hacksaw Household Manual Woodworking Hacksaw EDT-557675,https://www.tinydeal.com/mini-multi-function-home-hand-hacksaw-household-manual-woodworking-hacksaw-p-177614.html,,
15ml T8000 Epoxy Resin Acrylic Adhesive Needle Type Glue EDT-561603,https://www.tinydeal.com/15ml-t8000-epoxy-resin-acrylic-adhesive-needle-type-glue-p-179003.html,$2.53 ,$2.33
37mm Diameter 15X Magnifier Portable Pocket Handheld Glass Loupe w 2 LED Light EDT-543272,https://www.tinydeal.com/37mm-diameter-15x-magnifier-portable-pocket-handheld-glass-loupe-w-2-led-light-p-172786.html,$3.52 ,$3.28
SASTFOE U2 32GB USB 2.0 Flash Drive Pen Drive Metal Silver U Disk EUD-570812,https://www.tinydeal.com/sastfoe-u2-32gb-usb-20-flash-drive-pen-drive-metal-silver-u-disk-p-182061.html,$6.78 ,$5.31
4 in 1 32GB High Speed USB Flash Drive Pendrive Type C for Android IOS EUD-571275,https://www.tinydeal.com/4-in-1-32gb-high-speed-usb-flash-drive-pendrive-type-for-android-ios-p-182128.html,$18.53 ,$12.17
Lenovo N100 2.4GH Wireless Mouse USB Desktop Laptop Computer RTH-567219,https://www.tinydeal.com/lenovo-n100-24gh-wireless-mouse-usb-desktop-laptop-computer-p-181836.html,$5.57 ,$5.22
BT168D Battery Tester Universal Digital Display Battery Capacity Tester RTH-570308,https://www.tinydeal.com/bt168d-battery-tester-universal-digital-display-battery-capacity-tester-p-182118.html,$5.16 ,$4.84
SwissTek Ultimate All Purpose Power Scrubber Cleaning Kit (3-Piece) RTH-570129,https://www.tinydeal.com/swisstek-ultimate-all-purpose-power-scrubber-cleaning-kit-3-piece-p-181968.html,$10.53 ,$9.89
8 in 1 Gopro Sports Action Camera Accessories Set EVATH-519502,https://www.tinydeal.com/8-in-1-gopro-sports-action-camera-accessories-set-p-161830.html,$13.71 ,$12.84
USB 3.1 Type-C Card Reader Micro SD TF Card Reader with OTG Function E-532209,https://www.tinydeal.com/usb-31-type-card-reader-micro-sd-tf-card-reader-with-otg-function-p-166522.html,$2.51 ,$2.29
Portable 1.5m 4.9ft Retractable 8 Pin RJ45 M-M Ethernet Network Cable ECAHP-525978,https://www.tinydeal.com/portable-15m-49ft-retractable-8-pin-rj45-m-m-ethernet-network-cable-p-164297.html,$1.60 ,$1.50
Professional Game Mouse Backlit Colourful USB Wired ELT-566158,https://www.tinydeal.com/professional-game-mouse-backlit-colourful-usb-wired-p-181430.html,,
1.2M 4-Port USB 2.0 Hub External Splitter Adapter with Switch Button ECA-516830,https://www.tinydeal.com/12m-4-port-usb-20-hub-external-splitter-adapter-with-switch-button-p-160480.html,,
8 LEDs USB Night Light for Laptop Keyboard EDT-562699,https://www.tinydeal.com/8-leds-usb-night-light-for-laptop-keyboard-p-179185.html,$6.60 ,$1.70
G3 32GB USB 2.0 Flash Stick Pen USB Flash Drive EFM-566263,https://www.tinydeal.com/g3-32gb-usb-20-flash-stick-pen-usb-flash-drive-p-180997.html,$11.33 ,$5.66
Europe to US Travel Adapter CAD-7972,https://www.tinydeal.com/europe-to-us-travel-adapter-p-7246.html,$0.94 ,$0.90
Anti-static Safe Wrist Strap Electricity Grounding Wristband CTH-173490,https://www.tinydeal.com/anti-static-safe-wrist-strap-electricity-grounding-wristband-p-88842.html,$1.68 ,$1.44
Mounting Holder Bracket Set for GoPro Hero 2/Hero 3/Hero 3+ VGP-209876,https://www.tinydeal.com/mounting-holder-bracket-set-for-gopro-hero-2hero-3hero-3-p-98663.html,,
USB 2.0 Male to USB Female Rotatable Adapter CCB-196363,https://www.tinydeal.com/usb-20-male-to-usb-female-rotatable-adapter-p-95116.html,$1.16 ,$1.08
1.5M/ 5ft USB 2.0 A Male to A Female Extension Cable CCB-156440,https://www.tinydeal.com/15m-5ft-usb-20-a-male-to-a-female-extension-cable-p-83109.html,$2.73 ,$2.55
Dual Charging Dock + 2 Batteries for Nintendo Wii GWIICS02,https://www.tinydeal.com/dual-charging-dock-2-batteries-for-nintendo-wii-p-1559.html,,
2-Pin US to AU Power Plug Converter CAD-19575,https://www.tinydeal.com/2-pin-us-to-au-power-plug-converter-p-16231.html,$0.68 ,$0.63
UK Male to Female Travel Power Adapter CAD-4779,https://www.tinydeal.com/uk-male-to-female-travel-power-adapter-p-4287.html,,
1.5M/ 5ft USB 2.0 A Male to A Male Extension Cable CCB-156439,https://www.tinydeal.com/15m-5ft-usb-20-a-male-to-a-male-extension-cable-p-83136.html,,
GY-61 ADXL335 Triple Axis Accelerometer / Analog Sensor - Blue EDC-308704,https://www.tinydeal.com/gy-61-adxl335-triple-axis-accelerometer-analog-sensor-blue-p-128418.html,$4.36 ,$4.07
360 WiFi 3 Generation Wireless Wifi Repeater EDT-561481,https://www.tinydeal.com/360-wifi-3-generation-wireless-wifi-repeater-p-178760.html,$6.60 ,$2.87
1/2/4 pcs Screwdriver Extension Drill Bits Flexible Drill Holder Shaft Conecting HHIHE-531989,https://www.tinydeal.com/124-pcs-screwdriver-extension-drill-bits-flexible-drill-holder-shaft-conecting-p-166422.html,$6.36 ,$2.70
New High Quality High Power Supply USB 3.0 Hub EPACG-556613,https://www.tinydeal.com/new-high-quality-high-power-supply-usb-30-hub-p-177438.html,$1.90 ,$1.86
Non-contact Test Pencil 50-1000V AC Electroscope Voltage Alert Pen HHIHE-530683,https://www.tinydeal.com/non-contact-test-pencil-50-1000v-ac-electroscope-voltage-alert-pen-p-166200.html,$4.68 ,$3.22
Electronics Fans Package Kit for Arduino EDT-323176,https://www.tinydeal.com/electronics-fans-package-kit-for-arduino-p-132774.html,,
2.4GHz Wireless Optical Mouse Mice w/ Receiver for MacBook/ Laptop ECAMS-520534,https://www.tinydeal.com/24ghz-wireless-optical-mouse-mice-w-receiver-for-macbook-laptop-p-162039.html,,
Original Xiaomi Mijia Wifi Remote Control Multi-functional Gateway E-510654,https://www.tinydeal.com/original-xiaomi-mijia-wifi-remote-control-multi-functional-gateway-p-158819.html,$59.92 ,$34.14
DIY Home Security Monitor Mini Wi-Fi IP Camera w iOS/Android APP EVC-511997,https://www.tinydeal.com/diy-home-security-monitor-mini-wi-fi-ip-camera-w-iosandroid-app-p-159465.html,$16.17 ,$14.02
ESTRELLA  64G USB2.0 High Speed Mini Flash Drive Waterproof USB EUD-555517,https://www.tinydeal.com/estrella-64g-usb20-high-speed-mini-flash-drive-waterproof-usb-p-176843.html,$18.85 ,$11.42
2.4GHz Wireless 1600DPI 10M Nano Receiver Notebook Optical Mouse ECAMS-518567,https://www.tinydeal.com/24ghz-wireless-1600dpi-10m-nano-receiver-notebook-optical-mouse-p-161174.html,,
4.4 inch LCD Electronic Children Writing Tablet HHI-562746,https://www.tinydeal.com/44-inch-lcd-electronic-children-writing-tablet-p-179164.html,$6.60 ,$3.39
100mm/ 4'' Vernier Caliper Mini Brass Sliding Pocket Caliper Metal Double Scale HHI-544802,https://www.tinydeal.com/100mm-4-vernier-caliper-mini-brass-sliding-pocket-caliper-metal-double-scale-p-173405.html,$3.45 ,$3.30
Raspberry Pi 3 Model B Acrylic Case Transparent Shell Cover Cooler Fan E-525004,https://www.tinydeal.com/raspberry-pi-3-model-b-acrylic-case-transparent-shell-cover-cooler-fan-p-163923.html,,
2GB USB 2.0 Flash Drive USB Memory Card U Disk EUD-337402,https://www.tinydeal.com/2gb-usb-20-flash-drive-usb-memory-card-u-disk-p-136208.html,$3.68 ,$2.28
Kingston TF Card 8GB Class 4 SDHC Mobile phone EFM-400784,https://www.tinydeal.com/kingston-tf-card-8gb-class-4-sdhc-mobile-phone-p-151299.html,$9.86 ,$6.64
Worldwide All in One Travel Power Plug Adapter with Dual USB Ports E-516982,https://www.tinydeal.com/worldwide-all-in-one-travel-power-plug-adapter-with-dual-usb-ports-p-160908.html,$17.16 ,$8.56
TX9 Computer TV 3.5mm Audio Music Bluetooth Transmitter ECA-516886,https://www.tinydeal.com/tx9-computer-tv-35mm-audio-music-bluetooth-transmitter-p-160749.html,,
4pcs 1/4 Hex Shank Countersink Drill Bit Set for Woodworking Cutter HHI-532314,https://www.tinydeal.com/4pcs-14-hex-shank-countersink-drill-bit-set-for-woodworking-cutter-p-166596.html,$3.66 ,$3.41
6pcs 5 Flutes 1/4 Inch Hex Shank Countersink Drill Bit Set Titanium Coated HHI-532751,https://www.tinydeal.com/6pcs-5-flutes-14-inch-hex-shank-countersink-drill-bit-set-titanium-coated-p-167199.html,$6.18 ,$5.70
4 in 1 Multifunctional Retaining Ring Pliers Auto-lock Circlip Pliers HHI-544209,https://www.tinydeal.com/4-in-1-multifunctional-retaining-ring-pliers-auto-lock-circlip-pliers-p-173193.html,$6.60 ,$6.09
16GB PU Leather USB 3.0 Flash Drive ECA-564312,https://www.tinydeal.com/16gb-pu-leather-usb-30-flash-drive-p-179958.html,$9.52 ,$5.55
Camera Photo Universal Softbox Flash Light Bounce Diffuser Accessory E-545816,https://www.tinydeal.com/camera-photo-universal-softbox-flash-light-bounce-diffuser-accessory-p-173727.html,$3.38 ,$3.22
Dummy Fake Surveillance Security CCTV Dome Camera with Flashing Red LED Light TTH-539440,https://www.tinydeal.com/dummy-fake-surveillance-security-cctv-dome-camera-with-flashing-red-led-light-p-179138.html,$6.27 ,$5.88
G3 64GB USB 2.0 Flash Stick Pen USB Flash Drive EFM-566264,https://www.tinydeal.com/g3-64gb-usb-20-flash-stick-pen-usb-flash-drive-p-180998.html,$15.11 ,$7.17
Netac U905 Retractable 32GB High Speed USB 2.0 Flash Drive EUD-561574,https://www.tinydeal.com/netac-u905-retractable-32gb-high-speed-usb-20-flash-drive-p-179005.html,$8.73 ,$5.59
ESCAM Elf QF200 HD 960P WiFi IP Camera 1.3MP Two-way Voice SCM-523713,https://www.tinydeal.com/escam-elf-qf200-hd-960p-wifi-ip-camera-13mp-two-way-voice-p-163421.html,$53.40 ,$46.88
37mm UV Filter Adapter + Lens Cover Set for Xiaomi Yi Sports Camera EVATH-507592,https://www.tinydeal.com/37mm-uv-filter-adapter-lens-cover-set-for-xiaomi-yi-sports-camera-p-158468.html,$3.43 ,$3.20
1 Set of Copper and Aluminum Heatsinks for Raspberry Pi 2/3 Model B E-525014,https://www.tinydeal.com/1-set-of-copper-and-aluminum-heatsinks-for-raspberry-pi-23-model-b-p-164079.html,$1.43 ,$1.33
3PCs Aluminum Heat Sinks RPI Heatsinks for Raspberry Pi 2 / 3 Model B E-525015,https://www.tinydeal.com/3pcs-aluminum-heat-sinks-rpi-heatsinks-for-raspberry-pi-2-3-model-b-p-164013.html,$3.49 ,$0.84
Acrylic Case Transparent Shell Cover for Raspberry Pi 2/3 model B E-524993,https://www.tinydeal.com/acrylic-case-transparent-shell-cover-for-raspberry-pi-23-model-b-p-163965.html,$3.59 ,$3.07
Cooling Fan Cooler Radiator Fan for Raspberry Pi 2/3 Model B Pi B+ E-524997,https://www.tinydeal.com/cooling-fan-cooler-radiator-fan-for-raspberry-pi-23-model-b-pi-b-p-163953.html,$2.58 ,$2.33
2pcs Aluminum Heat Cooling Sink for Raspberry Pi 3 Model B Ras Pi 2 E-524986,https://www.tinydeal.com/2pcs-aluminum-heat-cooling-sink-for-raspberry-pi-3-model-b-ras-pi-2-p-163916.html,$0.94 ,$0.89
8 in 1 Screwdrivers Tool Kit with 6 LEDs Flashlight for Camping EDT-524012,https://www.tinydeal.com/8-in-1-screwdrivers-tool-kit-with-6-leds-flashlight-for-camping-p-163659.html,$13.61 ,$7.83
Digital Audio SPDIF Toslink to Coaxial Converter ETA-523398,https://www.tinydeal.com/digital-audio-spdif-toslink-to-coaxial-converter-p-163222.html,,
Personal Portable Photography Studio LED Light Room Light Weight E-524614,https://www.tinydeal.com/personal-portable-photography-studio-led-light-room-light-weight-p-163808.html,$14.10 ,$9.77
SQ9 1080P 12MP Action Camera Magenetic Mini Car DVR w/ Night Version E-522036,https://www.tinydeal.com/sq9-1080p-12mp-action-camera-magenetic-mini-car-dvr-w-night-version-p-162722.html,$17.59 ,$15.87
